year,month,hemisphere,extent_average
2016,5,south,10.1023871
2016,6,north,10.4129
2016,6,south,13.24193333
2016,7,north,7.937548387
2016,7,south,16.02383871
2016,8,north,5.370548387
2016,8,south,17.89203226
2016,9,north,4.5285
2016,9,south,18.15006667
2016,10,north,6.081645161
2016,10,south,17.46
2016,11,north,8.657833333
2016,11,south,14.22266667
2016,12,north,11.45941935
2016,12,south,8.279387097
2017,1,north,13.19012903
2017,1,south,3.783903226
2017,2,north,14.11942857
2017,2,south,2.287928571
2017,3,north,14.29006452
2017,3,south,2.699064516
2017,4,north,13.75346667
2017,4,south,5.435933333
2017,5,north,12.63045161
2017,5,south,9.01383871
2017,6,north,10.7564
2017,6,south,12.40876667
2017,7,north,7.939354839
2017,7,south,15.29667742
2017,8,north,5.480645161
2017,8,south,17.21890323
2017,9,north,4.8219
2017,9,south,17.9059
2017,10,north,6.767129032
2017,10,south,17.77609677
2017,11,north,9.492833333
2017,11,south,15.11303333
2017,12,north,11.74267742
2017,12,south,9.482064516
2018,1,north,13.05664516
2018,1,south,4.127419355
2018,2,north,13.94589286
2018,2,south,2.29425
2018,3,north,14.29832258
2018,3,south,3.528
2018,4,north,13.70866667
2018,4,south,6.009666667
2018,5,north,12.2086129
2018,5,south,9.294225806
2018,6,north,10.70853333
2018,6,south,12.84573333
2018,7,north,8.224354839
2018,7,south,15.65716129
2018,8,north,5.607935484
2018,8,south,17.33951613
2018,9,north,4.7136
2018,9,south,17.87893333
2018,10,north,6.063483871
2018,10,south,17.65548387
2018,11,north,9.8047
2018,11,south,15.01013333
2018,12,north,11.85651613
2018,12,south,9.032806452
2019,1,north,13.55567742
2019,1,south,3.831322581
2019,2,north,14.39835714
2019,2,south,2.656214286
2019,3,north,14.55196774
2019,3,south,3.16416129
2019,4,north,13.4546
2019,4,south,5.708633333
2019,5,north,12.16316129
2019,5,south,8.835516129
